state,old_district,new_district,matched_pop
FL,14,14,242141
FL,14,15,94375
FL,14,16,89419
FL,15,12,207529
FL,15,14,165857
FL,15,15,278558
FL,15,18,117277
FL,16,14,361223
FL,16,15,8288
FL,16,16,399710
FL,17,16,44479
FL,17,17,656530
FL,17,19,68212
FL,18,9,164918
FL,18,16,72798
FL,18,18,487025
FL,18,22,44480
FL,19,17,112691
FL,19,19,616235
FL,19,22,40295
FL,20,20,507233
FL,20,21,35006
FL,20,22,95820
FL,20,23,131144
FL,20,25,15
FL,20,26,3
FL,21,21,734215
FL,21,22,13693
FL,21,23,21313
FL,22,21,0
FL,22,22,98658
FL,22,23,616764
FL,22,25,53798
FL,23,20,246130
FL,23,22,166636
FL,23,25,356455
FL,24,24,535388
FL,24,25,233815
FL,24,26,18
FL,25,20,15858
FL,25,22,180289
FL,25,24,150681
FL,25,25,125138
FL,25,26,297255
FL,26,19,84774
FL,26,22,129350
FL,26,24,83152
FL,26,26,471945
FL,27,27,757078
FL,27,28,12143
FL,28,27,12143
FL,28,28,757078
LA,1,1,657855
LA,1,2,30268
LA,1,5,15936
LA,1,6,72268
LA,2,1,16235
LA,2,2,628406
LA,2,6,131675
LA,3,1,99501
LA,3,3,634667
LA,3,4,17688
LA,3,6,24431
LA,4,3,13157
LA,4,4,583702
LA,4,5,179443
LA,5,1,2658
LA,5,5,440683
LA,5,6,332944
LA,6,2,117574
LA,6,3,128531
LA,6,4,174947
LA,6,5,140223
LA,6,6,214965
MO,1,1,722708
MO,1,2,45423
MO,1,3,1233
MO,2,1,46656
MO,2,2,594357
MO,2,3,128351
MO,3,2,129584
MO,3,3,464756
MO,3,4,11897
MO,3,5,163127
MO,3,8,0
MO,4,3,53880
MO,4,4,476093
MO,4,5,239391
MO,5,4,281374
MO,5,5,328827
MO,5,6,159163
MO,6,3,121144
MO,6,5,38019
MO,6,6,610201
MO,7,7,769365
MO,8,8,769364
NC,1,1,473980
NC,1,3,271690
NC,2,2,745670
NC,3,1,271691
NC,3,3,473980
NC,4,4,745671
NC,5,5,745671
NC,6,6,745671
NC,7,7,745671
NC,8,8,745671
NC,9,9,745671
NC,10,10,745670
NC,11,11,745670
NC,12,12,745670
NC,13,13,745670
NC,14,14,745671
OH,1,1,686632
OH,1,8,99998
OH,2,1,42018
OH,2,2,641116
OH,2,15,103495
OH,3,3,786630
OH,4,4,569658
OH,4,5,71459
OH,4,7,52447
OH,4,12,93066
OH,5,4,71459
OH,5,5,634252
OH,5,9,80919
OH,6,2,59771
OH,6,6,640670
OH,6,12,27500
OH,6,13,9426
OH,6,14,49263
OH,7,6,43559
OH,7,7,734183
OH,7,12,8888
OH,8,1,57980
OH,8,8,642497
OH,8,10,81354
OH,8,15,4798
OH,9,5,80919
OH,9,9,705711
OH,10,4,73862
OH,10,10,705275
OH,10,15,7493
OH,11,11,786630
OH,12,2,85742
OH,12,6,43712
OH,12,12,657176
OH,13,6,58689
OH,13,13,725229
OH,13,14,2712
OH,14,13,51975
OH,14,14,734655
OH,15,4,71651
OH,15,8,44135
OH,15,15,670844
TN,1,1,767871
TN,2,2,767726
TN,2,6,145
TN,3,2,145
TN,3,3,722424
TN,3,6,45302
TN,4,3,45447
TN,4,4,516641
TN,4,6,181
TN,4,9,205603
TN,5,4,194509
TN,5,5,134860
TN,5,6,149438
TN,5,7,114817
TN,5,9,174247
TN,6,4,56721
TN,6,6,473110
TN,6,7,238040
TN,7,4,0
TN,7,5,217129
TN,7,6,99695
TN,7,7,415014
TN,7,8,19801
TN,7,9,16232
TN,8,5,170229
TN,8,8,469049
TN,8,9,128593
TN,9,5,245653
TN,9,8,279021
TN,9,9,243197
TX,1,1,650250
TX,1,3,53579
TX,1,4,23918
TX,1,32,39240
TX,2,2,612027
TX,2,8,18024
TX,2,9,97022
TX,2,29,33962
TX,2,38,5952
TX,3,3,582192
TX,3,4,168075
TX,3,32,16720
TX,4,1,1672
TX,4,3,97919
TX,4,4,531847
TX,4,26,1936
TX,4,32,133613
TX,5,5,583844
TX,5,32,181937
TX,5,33,1206
TX,6,1,50412
TX,6,5,57922
TX,6,6,484163
TX,6,17,49850
TX,6,24,12
TX,6,30,96454
TX,6,33,28174
TX,7,7,572006
TX,7,8,143298
TX,7,18,6472
TX,7,22,29009
TX,7,29,23
TX,7,38,16179
TX,8,2,16411
TX,8,8,504409
TX,8,10,85960
TX,8,22,67006
TX,8,38,93201
TX,9,7,122527
TX,9,9,22442
TX,9,14,43030
TX,9,18,494833
TX,9,22,0
TX,9,36,84155
TX,10,8,56794
TX,10,10,427746
TX,10,11,64181
TX,10,17,46291
TX,10,27,171975
TX,11,11,566229
TX,11,31,200758
TX,12,12,627655
TX,12,24,42618
TX,12,25,96714
TX,13,13,754482
TX,13,26,12505
TX,14,14,578490
TX,14,22,146551
TX,14,36,41946
TX,15,15,311665
TX,15,28,322002
TX,15,35,133320
TX,16,16,737133
TX,16,23,29853
TX,17,1,64653
TX,17,8,20595
TX,17,10,91554
TX,17,11,89095
TX,17,17,407136
TX,17,31,7559
TX,17,36,86395
TX,18,2,59105
TX,18,7,41884
TX,18,9,0
TX,18,18,197949
TX,18,29,445987
TX,18,38,22062
TX,19,19,766987
TX,20,20,464371
TX,20,21,120906
TX,20,23,68554
TX,20,35,113156
TX,21,10,23202
TX,21,20,413
TX,21,21,536010
TX,21,23,45569
TX,21,27,54188
TX,21,35,107589
TX,21,37,16
TX,22,14,145295
TX,22,18,4601
TX,22,22,505468
TX,22,27,77825
TX,22,36,33798
TX,23,16,29854
TX,23,20,21612
TX,23,21,30806
TX,23,23,623011
TX,23,28,27437
TX,23,35,34267
TX,24,5,26803
TX,24,6,0
TX,24,12,3860
TX,24,24,663595
TX,24,25,5190
TX,24,32,65574
TX,24,33,1965
TX,25,6,213261
TX,25,17,14803
TX,25,25,468712
TX,25,30,70211
TX,26,4,40558
TX,26,12,0
TX,26,13,12505
TX,26,26,713924
TX,27,15,167281
TX,27,27,305290
TX,27,34,294416
TX,28,20,50343
TX,28,28,411173
TX,28,35,305471
TX,29,7,17489
TX,29,9,335238
TX,29,18,63132
TX,29,29,284965
TX,29,36,66163
TX,30,5,151
TX,30,24,3357
TX,30,30,526682
TX,30,33,236797
TX,31,11,7453
TX,31,17,200864
TX,31,31,558670
TX,32,3,33297
TX,32,4,2589
TX,32,5,98267
TX,32,24,25420
TX,32,26,38622
TX,32,30,4386
TX,32,32,316267
TX,32,33,248139
TX,33,6,69563
TX,33,12,135472
TX,33,24,31985
TX,33,25,196371
TX,33,30,69254
TX,33,32,13636
TX,33,33,250706
TX,34,15,288041
TX,34,28,6375
TX,34,34,472571
TX,35,10,11504
TX,35,11,591
TX,35,20,230248
TX,35,21,79265
TX,35,27,125098
TX,35,35,73184
TX,35,37,247097
TX,36,9,312285
TX,36,14,172
TX,36,36,454530
TX,37,10,127021
TX,37,11,39438
TX,37,17,48043
TX,37,27,32611
TX,37,37,519874
TX,38,2,79444
TX,38,7,13081
TX,38,8,23867
TX,38,22,18953
TX,38,29,2050
TX,38,38,629592
UT,1,1,89986
UT,1,2,689534
UT,1,3,38384
UT,2,1,320192
UT,2,2,128370
UT,2,3,261314
UT,2,4,108028
UT,3,1,100269
UT,3,3,400266
UT,3,4,317369
UT,4,1,307457
UT,4,3,117940
UT,4,4,392507
