map,state,district_id,harris_margin_pts,dem,rep,total
Before redistricting,MI,MI-1,-21.20810370702805,NA,NA,NA
Before redistricting,MI,MI-2,-30.088174872992397,NA,NA,NA
Before redistricting,MI,MI-3,7.839260183129015,NA,NA,NA
Before redistricting,MI,MI-4,-5.536207849640684,NA,NA,NA
Before redistricting,MI,MI-5,-27.02049863595029,NA,NA,NA
Before redistricting,MI,MI-6,23.30533130465891,NA,NA,NA
Before redistricting,MI,MI-7,-1.283242640480275,NA,NA,NA
Before redistricting,MI,MI-8,-1.9807892722426719,NA,NA,NA
Before redistricting,MI,MI-9,-32.333876575848016,NA,NA,NA
Before redistricting,MI,MI-10,-6.546756652667485,NA,NA,NA
Before redistricting,MI,MI-11,16.083393442195554,NA,NA,NA
Before redistricting,MI,MI-12,37.96421526437617,NA,NA,NA
Before redistricting,MI,MI-13,41.06084299559683,NA,NA,NA
Before redistricting,MN,MN-1,-12.003368607564946,NA,NA,NA
Before redistricting,MN,MN-2,5.831909194054868,NA,NA,NA
Before redistricting,MN,MN-3,21.26152302712525,NA,NA,NA
Before redistricting,MN,MN-4,35.67305318976705,NA,NA,NA
Before redistricting,MN,MN-5,61.866022073158454,NA,NA,NA
Before redistricting,MN,MN-6,-19.669304731321713,NA,NA,NA
Before redistricting,MN,MN-7,-36.4813318692643,NA,NA,NA
Before redistricting,MN,MN-8,-14.29085840399582,NA,NA,NA
Before redistricting,MO,MO-1,57.19177646235122,NA,NA,NA
Before redistricting,MO,MO-2,-7.903984367619038,NA,NA,NA
Before redistricting,MO,MO-3,-26.71904682224869,NA,NA,NA
Before redistricting,MO,MO-4,-42.27988508804596,NA,NA,NA
Before redistricting,MO,MO-5,23.11720469280825,NA,NA,NA
Before redistricting,MO,MO-6,-38.85463751426415,NA,NA,NA
Before redistricting,MO,MO-7,-42.6165879024567,NA,NA,NA
Before redistricting,MO,MO-8,-54.08110176809154,NA,NA,NA
Before redistricting,MS,MS-1,-37.03453404802241,NA,NA,NA
Before redistricting,MS,MS-2,20.361662390253272,NA,NA,NA
Before redistricting,MS,MS-3,-29.17565337766434,NA,NA,NA
Before redistricting,MS,MS-4,-42.52560656072412,NA,NA,NA
Before redistricting,MT,MT-1,-11.55036810025492,NA,NA,NA
Before redistricting,MT,MT-2,-29.53820522313673,NA,NA,NA
Before redistricting,NC,NC-1,-3.095565265140865,NA,NA,NA
Before redistricting,NC,NC-2,33.85363145360418,NA,NA,NA
Before redistricting,NC,NC-3,-21.861199729691506,NA,NA,NA
Before redistricting,NC,NC-4,45.30372398710813,NA,NA,NA
Before redistricting,NC,NC-5,-17.775605394823785,NA,NA,NA
Before redistricting,NC,NC-6,-17.162064530674353,NA,NA,NA
Before redistricting,NC,NC-7,-13.823232813173275,NA,NA,NA
Before redistricting,NC,NC-8,-19.37873222835735,NA,NA,NA
Before redistricting,NC,NC-9,-15.843217775496363,NA,NA,NA
Before redistricting,NC,NC-10,-17.726458176773225,NA,NA,NA
Before redistricting,NC,NC-11,-9.502836837483564,NA,NA,NA
Before redistricting,NC,NC-12,46.2020278137403,NA,NA,NA
Before redistricting,NC,NC-13,-16.465803909940053,NA,NA,NA
Before redistricting,NC,NC-14,-15.075433626754508,NA,NA,NA
Before redistricting,ND,ND-AL,-36.75515464623527,NA,NA,NA
Before redistricting,NE,NE-1,-13.041934754197248,NA,NA,NA
Before redistricting,NE,NE-2,4.621554201269379,NA,NA,NA
Before redistricting,NE,NE-3,-53.79975333557574,NA,NA,NA
Before redistricting,NH,NH-1,2.0099999999999953,NA,NA,NA
Before redistricting,NH,NH-2,3.5900000000000043,NA,NA,NA
Before redistricting,NJ,NJ-1,18.7317503460626,NA,NA,NA
Before redistricting,NJ,NJ-2,-12.552088180248372,NA,NA,NA
Before redistricting,NJ,NJ-3,8.3558248969067,NA,NA,NA
Before redistricting,NJ,NJ-4,-30.11838724395457,NA,NA,NA
Before redistricting,NJ,NJ-5,1.513263396203934,NA,NA,NA
Before redistricting,NJ,NJ-6,6.423489701343627,NA,NA,NA
Before redistricting,NJ,NJ-7,-1.174022786165257,NA,NA,NA
Before redistricting,NJ,NJ-8,24.186914207367785,NA,NA,NA
Before redistricting,NJ,NJ-9,-1.137715982815601,NA,NA,NA
Before redistricting,NJ,NJ-10,50.772033705306306,NA,NA,NA
Before redistricting,NJ,NJ-11,8.714461998872885,NA,NA,NA
Before redistricting,NJ,NJ-12,23.86726454226255,NA,NA,NA
Before redistricting,NM,NM-1,12.664443942133818,NA,NA,NA
Before redistricting,NM,NM-2,-1.8081491870322701,NA,NA,NA
Before redistricting,NM,NM-3,5.204416030944453,NA,NA,NA
Before redistricting,NV,NV-1,2.259332609551539,NA,NA,NA
Before redistricting,NV,NV-2,-13.936000721814224,NA,NA,NA
Before redistricting,NV,NV-3,-0.737042690841877,NA,NA,NA
Before redistricting,NV,NV-4,2.3160409655755156,NA,NA,NA
Before redistricting,NY,NY-1,-10.04417144201014,NA,NA,NA
Before redistricting,NY,NY-2,-13.927049707707301,NA,NA,NA
Before redistricting,NY,NY-3,-4.278856574905765,NA,NA,NA
Before redistricting,NY,NY-4,1.277217760095111,NA,NA,NA
Before redistricting,NY,NY-5,42.15661157024794,NA,NA,NA
Before redistricting,NY,NY-6,6.408021132378295,NA,NA,NA
Before redistricting,NY,NY-7,45.88852531562084,NA,NA,NA
Before redistricting,NY,NY-8,43.97880559659483,NA,NA,NA
Before redistricting,NY,NY-9,40.60544212263512,NA,NA,NA
Before redistricting,NY,NY-10,60.44207592267643,NA,NA,NA
Before redistricting,NY,NY-11,-24.370336419470156,NA,NA,NA
Before redistricting,NY,NY-12,63.60067600050729,NA,NA,NA
Before redistricting,NY,NY-13,59.28362695165734,NA,NA,NA
Before redistricting,NY,NY-14,31.751204934940898,NA,NA,NA
Before redistricting,NY,NY-15,48.25626204238921,NA,NA,NA
Before redistricting,NY,NY-16,33.106546776259734,NA,NA,NA
Before redistricting,NY,NY-17,0.5555512748399211,NA,NA,NA
Before redistricting,NY,NY-18,3.331879422312689,NA,NA,NA
Before redistricting,NY,NY-19,1.7843178517519709,NA,NA,NA
Before redistricting,NY,NY-20,14.149288377093278,NA,NA,NA
Before redistricting,NY,NY-21,-20.65435034039324,NA,NA,NA
Before redistricting,NY,NY-22,7.650060686306959,NA,NA,NA
Before redistricting,NY,NY-23,-21.0145532670832,NA,NA,NA
Before redistricting,NY,NY-24,-23.08744805849924,NA,NA,NA
Before redistricting,NY,NY-25,18.444711615189007,NA,NA,NA
Before redistricting,NY,NY-26,19.26918707657172,NA,NA,NA
Before redistricting,OH,OH-1,6.3367290645804655,NA,NA,NA
Before redistricting,OH,OH-2,-47.58086658992745,NA,NA,NA
Before redistricting,OH,OH-3,40.24087236667988,NA,NA,NA
Before redistricting,OH,OH-4,-36.75811539935725,NA,NA,NA
Before redistricting,OH,OH-5,-29.26411145251326,NA,NA,NA
Before redistricting,OH,OH-6,-33.66143691558187,NA,NA,NA
Before redistricting,OH,OH-7,-10.641253718209905,NA,NA,NA
Before redistricting,OH,OH-8,-23.692639075778587,NA,NA,NA
Before redistricting,OH,OH-9,-6.710452907316483,NA,NA,NA
Before redistricting,OH,OH-10,-5.738515564675639,NA,NA,NA
Before redistricting,OH,OH-11,55.0655694749451,NA,NA,NA
Before redistricting,OH,OH-12,-32.73381570971479,NA,NA,NA
Before redistricting,OH,OH-13,0.04628985543905784,NA,NA,NA
Before redistricting,OH,OH-14,-17.939622399146288,NA,NA,NA
Before redistricting,OH,OH-15,-9.194760551970266,NA,NA,NA
Before redistricting,OK,OK-1,-21.533152591445024,NA,NA,NA
Before redistricting,OK,OK-2,-55.62202683487859,NA,NA,NA
Before redistricting,OK,OK-3,-45.541225600000004,NA,NA,NA
Before redistricting,OK,OK-4,-33.237957699999995,NA,NA,NA
Before redistricting,OK,OK-5,-17.724871899999993,NA,NA,NA
Before redistricting,OR,OR-1,37.79062605224904,NA,NA,NA
Before redistricting,OR,OR-2,-27.136020750736694,NA,NA,NA
Before redistricting,OR,OR-3,45.97583265055892,NA,NA,NA
Before redistricting,OR,OR-4,12.061031789104925,NA,NA,NA
Before redistricting,OR,OR-5,8.541120497135646,NA,NA,NA
Before redistricting,OR,OR-6,11.375759191266038,NA,NA,NA
Before redistricting,PA,PA-1,0.319243112821066,NA,NA,NA
Before redistricting,PA,PA-2,35.739792378173654,NA,NA,NA
Before redistricting,PA,PA-3,77.31529656607701,NA,NA,NA
Before redistricting,PA,PA-4,15.803571237705572,NA,NA,NA
Before redistricting,PA,PA-5,28.629964278209712,NA,NA,NA
Before redistricting,PA,PA-6,11.408244934256496,NA,NA,NA
Before redistricting,PA,PA-7,-3.2043467575728837,NA,NA,NA
Before redistricting,PA,PA-8,-8.498747547600882,NA,NA,NA
Before redistricting,PA,PA-9,-37.94184534597099,NA,NA,NA
Before redistricting,PA,PA-10,-5.230680311426916,NA,NA,NA
Before redistricting,PA,PA-11,-21.36336973962954,NA,NA,NA
Before redistricting,PA,PA-12,19.185875772054537,NA,NA,NA
Before redistricting,PA,PA-13,-45.53548296493228,NA,NA,NA
Before redistricting,PA,PA-14,-33.35700240332095,NA,NA,NA
Before redistricting,PA,PA-15,-37.962755780597504,NA,NA,NA
Before redistricting,PA,PA-16,-22.765971710129385,NA,NA,NA
