state,district,district_number,candidate,party,ballotpedia_status,election_phase,incumbent,candidate_connection,candidate_url,source_url,raw_candidate_text,source_table_index,source_table_columns,section_note
Texas,District 5,5,Ruth Torres,Democratic Party,active,Democratic primary runoff,False,True,https://ballotpedia.org/Ruth_Torres,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Ruth Torres,,,
Texas,District 5,5,Chelsey Hockett,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Chelsey_Hockett,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Chelsey Hockett,,,
Texas,District 5,5,Forrest Lumpkin,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Forrest_Lumpkin,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Forrest Lumpkin,,,
Texas,District 5,5,Ruth Torres,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Ruth_Torres,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Ruth Torres,,,
Texas,District 5,5,Lance Gooden,Republican Party,active,Republican primary,True,False,https://ballotpedia.org/Lance_Gooden,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Lance Gooden (Incumbent),,,
Texas,District 5,5,Travis Edwards,Republican Party,did_not_make_ballot,Republican primary,False,True,https://ballotpedia.org/Travis_Edwards_(Texas),"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Travis Edwards,,,
Texas,District 6,6,Jake Ellzey,Republican Party,active,General election,True,False,https://ballotpedia.org/Jake_Ellzey,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Jake Ellzey (Incumbent) (Republican Party),,,
Texas,District 6,6,Danny Minton,Democratic Party,active,General election,False,True,https://ballotpedia.org/Danny_Minton,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Danny Minton (Democratic Party),,,
Texas,District 6,6,Danny Minton,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Danny_Minton,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Danny Minton,,,
Texas,District 6,6,Aiden Morgan,Democratic Party,did_not_make_ballot,Democratic primary,False,False,https://ballotpedia.org/Aiden_Morgan,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Aiden Morgan,,,
Texas,District 6,6,Jake Ellzey,Republican Party,active,Republican primary,True,False,https://ballotpedia.org/Jake_Ellzey,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Jake Ellzey (Incumbent),,,
Texas,District 6,6,James Buford,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/James_Buford,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",James Buford,,,
Texas,District 6,6,Brian Stahl,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Brian_Stahl,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Brian Stahl,,,
Texas,District 7,7,Lizzie Pannill Fletcher,Democratic Party,active,General election,True,False,https://ballotpedia.org/Lizzie_Pannill_Fletcher,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Lizzie Pannill Fletcher (Incumbent) (Democratic Party),,,
Texas,District 7,7,Alexander Hale,Republican Party,active,General election,False,False,https://ballotpedia.org/Alexander_Hale,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Alexander Hale (Republican Party),,,
Texas,District 7,7,Espoir Ngabo,Green Party,active,General election,False,True,https://ballotpedia.org/Espoir_Ngabo,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Espoir Ngabo (Green Party),,,
Texas,District 7,7,Tina Blum Cohen,Republican Party,active,Republican primary runoff,False,False,https://ballotpedia.org/Tina_Blum_Cohen,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Tina Blum Cohen,,,
Texas,District 7,7,Alexander Hale,Republican Party,active,Republican primary runoff,False,False,https://ballotpedia.org/Alexander_Hale,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Alexander Hale,,,
Texas,District 7,7,Lizzie Pannill Fletcher,Democratic Party,active,Democratic primary,True,False,https://ballotpedia.org/Lizzie_Pannill_Fletcher,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Lizzie Pannill Fletcher (Incumbent),,,
Texas,District 7,7,Tina Blum Cohen,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Tina_Blum_Cohen,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Tina Blum Cohen,,,
Texas,District 7,7,Alexander Hale,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Alexander_Hale,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Alexander Hale,,,
Texas,District 7,7,Alexander Kalai,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Alexander_Kalai,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Alexander Kalai,,,
Texas,District 7,7,Erin Montgomery,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Erin_Montgomery,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Erin Montgomery,,,
Texas,District 7,7,Espoir Ngabo,Green Party,active,Minor party convention,False,True,https://ballotpedia.org/Espoir_Ngabo,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Espoir Ngabo,,,
Texas,District 8,8,Laura Jones,Democratic Party,active,General election,False,False,https://ballotpedia.org/Laura_Jones_(Texas),"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Laura Jones (Democratic Party),,,
Texas,District 8,8,Jessica Steinmann,Republican Party,active,General election,False,False,https://ballotpedia.org/Jessica_Steinmann,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Jessica Steinmann (Republican Party),,,
Texas,District 8,8,Keith Coleman,Democratic Party,active,Democratic primary,False,False,https://ballotpedia.org/Keith_Coleman,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Keith Coleman,,,
Texas,District 8,8,Laura Jones,Democratic Party,active,Democratic primary,False,False,https://ballotpedia.org/Laura_Jones_(Texas),"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Laura Jones,,,
Texas,District 8,8,Jay Fondren,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Jay_Fondren,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Jay Fondren,,,
Texas,District 8,8,Brett Jensen,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Brett_Jensen,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Brett Jensen,,,
Texas,District 8,8,Stephen Long,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Stephen_Long,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Stephen Long,,,
Texas,District 8,8,Jessica Steinmann,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Jessica_Steinmann,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Jessica Steinmann,,,
Texas,District 8,8,Nick Tran,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Nick_Tran,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Nick Tran,,,
Texas,District 8,8,Deddrick Wilmer,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Deddrick_Wilmer,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Deddrick Wilmer,,,
Texas,District 9,9,Leticia Gutierrez,Democratic Party,active,General election,False,True,https://ballotpedia.org/Leticia_Gutierrez,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Leticia Gutierrez (Democratic Party),,,
Texas,District 9,9,Alex Mealer,Republican Party,active,General election,False,True,https://ballotpedia.org/Alex_Mealer,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Alex Mealer (Republican Party),,,
Texas,District 9,9,Roy Morales,Independent,active,General election,False,False,https://ballotpedia.org/Roy_Morales_(Texas),"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Roy Morales (Independent),,,
Texas,District 9,9,Briscoe Cain,Republican Party,active,Republican primary runoff,False,True,https://ballotpedia.org/Briscoe_Cain,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Briscoe Cain,,,
Texas,District 9,9,Alex Mealer,Republican Party,active,Republican primary runoff,False,True,https://ballotpedia.org/Alex_Mealer,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Alex Mealer,,,
Texas,District 9,9,Earnest Clayton,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Earnest_Clayton,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Earnest Clayton,,,
Texas,District 9,9,Peter Filler,Democratic Party,active,Democratic primary,False,False,https://ballotpedia.org/Peter_Filler,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Peter Filler,,,
